#Input Size         Brute Force         Divide and Conquer  Kadane's Algorithm  
24301               803372              2359                60                  
24401               802399              3652                125                 
24501               819804              2449                59                  
24601               869267              2485                58                  
24701               838089              2391                60                  
24801               871480              2436                68                  
24901               889430              2458                62                  
25001               891287              2604                73                  
25101               931798              2870                126                 
25201               997077              2630                68                  
25301               939398              2550                77                  
25401               928105              2526                64                  
25501               951380              2879                68                  
25601               973356              2531                67                  
25701               955221              2639                70                  
25801               1019066             5749                79                  
25901               1003111             2481                63                  
26001               988301              2639                62                  
26101               906105              2718                65                  
26201               909817              2719                66                  
26301               937922              2724                65                  
26401               990872              2752                67                  
26501               1105458             3068                162                 
26601               971947              2754                62                  
26701               958102              2652                64                  
26801               953702              2702                66                  
26901               976805              2769                65                  
27001               1061304             2716                67                  
27101               1017091             2752                66                  
27201               994799              2855                68                  
27301               1010419             2810                67                  
27401               1007548             2783                73                  
27501               1024338             2732                64                  
27601               1024346             2782                69                  
27701               1020202             2841                73                  
27801               1063363             2867                66                  
27901               1106280             3384                73                  
28001               1068762             2827                70                  
28101               1105402             3082                130                 
28201               1162477             2698                69                  
28301               1063633             2690                70                  
28401               1113003             2881                70                  
28501               1150028             2732                70                  
28601               1246193             3166                73                  
28701               1134452             2960                68                  
28801               1116906             2757                72                  
28901               1116640             2912                68                  
29001               1127868             3073                73                  
29101               1152879             2798                72                  
29201               1174014             2968                81                  
29301               1184235             2800                72                  
29401               1203194             3025                70                  
29501               1189020             4233                115                 
29601               1222396             2981                71                  
29701               1204122             3006                73                  
29801               1212025             2878                73                  
29901               1216668             3004                71                  
